topic,num_window_papers,num_target_papers,top_keywords,top_influence_scores
Bioinformatics and Computational Biology,46,4,"[""language biomedical"", ""language biomedical natural"", ""biomedical"", ""biomedical natural"", ""biomedical natural language"", ""medicine bmc bioinformatics"", ""bmc bioinformatics"", ""medicine biomedical informatics"", ""biomedical informatics"", ""bioinformatics"", ""recommendations"", ""medicine biomedical"", ""medicine bioinform"", ""clinical notes"", ""bionlp""]","[1.1879, 1.1879, 1.1257, 0.8989, 0.8989, 0.8825, 0.856, 0.7751, 0.7751, 0.677, 0.674, 0.6222, 0.5805, 0.5553, 0.5326]"
Computer Networks,74,11,"[""internet"", ""latency"", ""iot network"", ""network neural"", ""network neural processing"", ""network"", ""distributed computing continuum"", ""communications"", ""computing continuum"", ""continuum"", ""neural processing"", ""bot-iot"", ""network mathematics representations"", ""distributed computing"", ""mathematics representations""]","[1.5588, 1.0224, 0.9822, 0.8963, 0.8919, 0.8736, 0.8485, 0.8254, 0.8198, 0.7896, 0.6984, 0.6767, 0.599, 0.5921, 0.5874]"
Computer Vision,946,78,"[""vision"", ""open-vocabulary object detection"", ""detection vision"", ""open-vocabulary object"", ""object detection vision"", ""segment"", ""object detection"", ""vision transformers"", ""vision attention mechanism"", ""object"", ""detection vision pattern"", ""real-time object detection"", ""network object"", ""network object detection"", ""distillation""]","[2.3858, 1.7725, 1.7211, 1.7197, 1.6705, 1.644, 1.608, 1.6029, 1.5844, 1.5012, 1.4983, 1.4734, 1.4447, 1.4316, 1.4233]"
Data Mining,26,3,"[""knowledge discovery"", ""discovery"", ""discovery mining"", ""knowledge discovery mining"", ""anomaly detection"", ""mining"", ""anomaly"", ""network anomaly detection"", ""anomaly detection deep"", ""anomaly detection cloud"", ""network anomaly"", ""network traffic anomaly"", ""traffic anomaly detection"", ""traffic anomaly"", ""detection deep neural""]","[1.59, 1.225, 0.8677, 0.8677, 0.6472, 0.6367, 0.6216, 0.6183, 0.604, 0.5917, 0.5799, 0.4458, 0.4458, 0.4458, 0.342]"
Databases and Data Management,48,48,"[""query optimization"", ""vldb endowment"", ""endowment"", ""cardinality estimation"", ""learned query optimization"", ""vldb"", ""cardinality"", ""database"", ""database tuning"", ""making learned"", ""making learned query optimization"", ""databases"", ""query optimization optimizer"", ""query optimization optimizer vldb"", ""optimizer vldb endowment""]","[2.0074, 1.7585, 1.441, 1.2917, 1.2638, 1.2618, 1.2542, 1.2531, 1.0681, 1.0086, 1.0086, 0.9987, 0.9785, 0.9289, 0.9289]"
Deep Learning,792,133,"[""llm"", ""attention mechanism"", ""diffusion"", ""large"", ""language"", ""representations"", ""neural processing"", ""pretraining"", ""deep neural network"", ""foundation"", ""transformers"", ""vision transformers"", ""deep neural"", ""vision attention mechanism"", ""evaluating""]","[2.5211, 2.3751, 2.2111, 2.2102, 2.0515, 2.0195, 1.9505, 1.8345, 1.8224, 1.6982, 1.6679, 1.5511, 1.5415, 1.5231, 1.5195]"
Distributed Systems and Cloud,98,33,"[""distributed"", ""cloud computing"", ""scheduling cloud computing"", ""services"", ""cloud"", ""scheduling cloud"", ""computing environments"", ""heterogeneous"", ""computing platform"", ""cloud computing platform"", ""parallel distributed"", ""computing intelligent"", ""computing"", ""cloud-edge"", ""ddos attack""]","[1.7232, 1.6257, 1.23, 1.1749, 1.0868, 1.0457, 0.9929, 0.9896, 0.9837, 0.9837, 0.9828, 0.9089, 0.897, 0.8944, 0.8705]"
Explainable / Fair / Causal AI,19,2,"[""interpretability ai"", ""interpretability"", ""fairnes"", ""accountability"", ""shapley"", ""intelligence xai"", ""xai"", ""artificial intelligence xai"", ""fairnes accountability"", ""fairnes accountability interpretability"", ""accountability interpretability"", ""machine mathematics"", ""valuation machine mathematics"", ""valuation machine"", ""valuation""]","[1.0008, 0.9428, 0.5682, 0.5007, 0.4871, 0.424, 0.424, 0.424, 0.4192, 0.4192, 0.4192, 0.3879, 0.3182, 0.3182, 0.3182]"
Generative Models,22,5,"[""diffusion"", ""generative adversarial network"", ""adversarial network"", ""autoencoders"", ""denoising diffusion"", ""image synthesis"", ""synthesis"", ""diffusion probabilistic mathematics"", ""diffusion probabilistic"", ""probabilistic mathematics"", ""generative adversarial"", ""beat"", ""anomaly"", ""masked"", ""latent""]","[2.1781, 1.0927, 1.0254, 0.9075, 0.6999, 0.5743, 0.4915, 0.4802, 0.4802, 0.4802, 0.3972, 0.3221, 0.303, 0.2726, 0.2602]"
Graph Machine Learning,16,15,"[""graph"", ""graph neural network"", ""neural network traffic"", ""synergistic drug"", ""knowledge graph"", ""synergistic"", ""knowledge graphs"", ""aware"", ""neural network"", ""mathematics ai"", ""network mathematics medicine"", ""mathematics medicine neural"", ""representation knowledge"", ""decade"", ""factual""]","[0.9075, 0.8907, 0.7973, 0.6617, 0.6521, 0.6417, 0.5867, 0.51, 0.5088, 0.4985, 0.4492, 0.4479, 0.4477, 0.4279, 0.4209]"
